count_point_id,direction_of_travel,year,count_date,hour,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_4_or_more_rigid_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
1071,N,2007,2007/5/14,7,3,Scotland,38,Dumfries & Galloway,A710,Major,A711,"C-road, Sandyhills",284200,556500,54.88978371,-3.80689541,11,6.84,0,1,31,0,10,2,0,0,0,0,0,2,44
1072,N,2007,2007/6/29,7,3,Scotland,38,Dumfries & Galloway,A711,Major,A762,A75,270200,554800,54.8710752,-4.02425155,6.2,3.85,0,0,59,0,24,4,4,0,1,0,1,10,93
1074,N,2007,2007/5/1,11,3,Scotland,38,Dumfries & Galloway,A713,Major,B729,LA Boundary,254800,595350,55.23093847,-4.28468433,10.2,6.34,0,1,31,0,3,2,0,1,0,1,0,4,39
1078,N,2007,2007/6/22,7,3,Scotland,38,Dumfries & Galloway,A718,Major,B798,B738 Main Street,203160,568200,54.96943187,-5.07674495,5.6,3.48,0,0,8,1,3,0,1,0,0,0,0,1,13
1101,S,2007,2007/10/26,12,3,Scotland,36,Midlothian,A766,Major,A702,"Rullion Rd, Penicuik",321000,659680,55.82387795,-3.26252144,5,3.11,1,0,56,0,7,3,0,0,0,0,0,3,66
1106,N,2007,2007/6/15,9,3,Scotland,3,Glasgow City,A804,Major,A814,A82,258040,666270,55.86862902,-4.27021014,1.3,0.81,11,4,392,0,48,10,1,1,3,0,0,15,459
1122,N,2007,2007/9/7,7,3,Scotland,35,Highland,A836,Major,B873,A838,261700,947900,58.39756654,-4.36795391,25,15.53,0,0,2,0,1,0,0,0,0,0,0,0,3
1136,N,2007,2007/5/16,13,3,Scotland,35,Highland,A861,Major,A830,Corran ferry,208700,774000,56.81802606,-5.13595473,33.3,20.69,2,0,1,0,1,1,0,0,0,0,0,1,3
1159,E,2007,2007/6/14,8,3,Scotland,32,Fife,A911,Major,LA Boundary,"road to Lomond View, Glenrothes",322700,701460,56.19944432,-3.24743389,2.1,1.3,1,0,161,2,21,4,2,0,0,0,0,6,190
1175,W,2007,2007/5/25,17,3,Scotland,45,Aberdeenshire,A941,Major,B9002,A97,345400,828100,57.34013191,-2.90872276,9.7,6.03,0,0,6,0,1,0,1,2,0,0,0,3,10
1194,N,2007,2007/4/27,7,3,Scotland,45,Aberdeenshire,A981,Major,B9032,"Boothby Rd, Fraserburgh",397400,862900,57.65599714,-2.04522998,3.3,2.05,1,0,44,1,15,8,0,0,0,0,0,8,68
1206,N,2007,2007/3/21,7,3,Scotland,43,West Dunbartonshire,A8014,Major,A814,A82,249850,671000,55.90860743,-4.4035919,2.1,1.3,1,1,139,28,39,3,5,1,3,2,1,15,222
10730,E,2007,2007/3/23,7,3,Scotland,33,Scottish Borders,A68,Major,A698,A698,364900,623600,55.50490551,-2.55724969,1.6,0.99,0,0,126,6,49,16,3,0,0,2,3,24,205
